key,createTime,home,homePlayerCount,visitor,visitorPlayerCount,status,lastUpdate,lastUpdateInning,lastUpdateScore
wD2cf0VCM6YKq5aaxvgU,2021-06-09T02:51:00.300Z,JBC,11,PSP,0,inprogress,never,,
3AYwZ3IHP9l3oYd4dr7u,2021-06-09T02:50:17.652Z,JBC,11,MAC Baseball,0,inprogress,never,,
9r5UwEFSxxsoSr2OZ7NU,2021-06-09T02:46:45.176Z,JBC,11,Prime,0,inprogress,never,,



GGd6Bp3sYgO77GB6Zdo4,2021-06-05T22:09:02.986Z,OBS,0,Matt's Laptop,2,inprogress,2021-06-07T15:43:22.828Z,1,h:0 - v:0


HR2iT4A8iaZ4ItYL0VKR,2021-06-05T22:02:02.283Z,Stream Test,0,Charles 2nd,0,inprogress,never,,
y4wYGZYo6Dnhfbt2PRX4,2021-06-05T21:56:18.533Z,Android,0,Prism,0,inprogress,never,,
y630MhKdL0ijav3zy7UR,2021-06-05T21:51:44.408Z,Floyd,10,Tennis Ball,10,inprogress,never,,
JQmPvtcxtjCv3U8CxE9f,2021-06-05T21:51:06.969Z,Mickey,0,Mevo,0,inprogress,never,,
4HsPF1Byr42PsiXYI4Y6,2021-06-05T02:53:53.114Z,Test Home,0,Test Visitor,0,inprogress,never,,

Y1YvXsemAzr8afbkNsXO,2021-06-05T01:02:44.536Z,Dragons Elite,0,Juanita,11,inprogress,2021-06-05T03:05:56.322Z,-1,h:7 - v:1
vU5oMbttHCZaO1Fclq3S,2021-06-03T20:39:01.502Z,Bombers,4,Huskies,0,inprogress,2021-06-04T04:58:11.718Z,-1,h:0 - v:1
VtcUSRwb7ZPS2FcSROPr,2021-05-31T00:13:54.756Z,Juanita,10,PSP,0,inprogress,2021-05-31T02:10:12.673Z,-1,h:15 - v:2
1tl29ciHCAwghA4X8Zzv,2021-05-30T21:34:19.987Z,Driveline ,0,Juanita,9,inprogress,2021-05-30T23:37:41.114Z,-1,h:5 - v:8
3yMw2LdJhP1hoz2vXgqK,2021-05-29T18:54:58.648Z,Juanita,10,FOC Bears,0,inprogress,2021-05-29T20:54:30.289Z,-1,h:3 - v:5
Ktki7HXodgtvuPnI07vp,2021-05-29T15:54:44.300Z,Baden,0,JBC,10,inprogress,2021-05-29T17:54:34.080Z,-1,h:3 - v:1
sCNCxSyT7LSpetnO5pqh,2021-05-28T00:51:27.894Z,KALL Huskies,0,KNLL Krush,10,inprogress,2021-05-28T01:13:57.836Z,1,h:0 - v:1
XaP412S1GEb38KRIiTbv,2021-05-27T01:04:21.568Z,Eastlake,0,Bombers,17,inprogress,2021-05-27T03:27:21.355Z,-1,h:9 - v:12
rDjWZGlMdXmcUW0GL1kS,2021-05-27T00:58:31.062Z,Bombers,17,Eastlake,1,inprogress,2021-05-27T00:59:37.988Z,1,h:0 - v:0
UhHJ9uN8TnRNikdtP09D,2021-05-25T00:01:04.173Z,JBC,11,Dragons,10,inprogress,2021-05-25T02:27:58.017Z,-1,h:5 - v:4
y1n1TW7ANaGaSD1qcBJf,2021-05-24T00:14:20.244Z,KB Fastpitch,8,Snohomish Sox,0,inprogress,2021-05-24T02:28:03.744Z,-1,h:9 - v:13
tUtGTBOPG5LaamqcuPGO,2021-05-24T00:06:47.633Z,KB Fastpitch,0,Snohomish Sox,0,inprogress,never,,
44fF7H2ccTVOY0D4HVuv,2021-05-14T00:55:24.655Z,Kirkland Krush,0,SVN Mets,0,final,2021-05-14T03:11:46.764Z,-1,h:14 - v:10
VBo2mCnuzNvbHR3TePx3,2021-05-12T00:37:47.582Z,Eastside Huskies,0,Juanita,0,inprogress,2021-05-12T01:41:19.131Z,2,h:4 - v:3
